client_id,client_name,client_type,sector,sector_risk,country,pep_flag,sanctions_flag,fatf_country_flag,ofac_country_flag,sectoral_sanctions_flag,ownership_opacity_score,risk_tier,accounts_to_assign,accounts_to_assign_final,high_rank
1,Wells-Turner,Financial Institution,NGO/Charity,High,JP,0,0,0,0,0,0,High,6,7,1
2,"Goodman, Hendrix and Garcia",Financial Institution,Import/Export,Medium,CH,0,0,0,0,0,0,Medium,4,4,
3,Phillips-Hanson,NGO,NGO/Charity,High,AE,0,1,0,0,0,0.5,High,6,7,2
4,"Kim, Anderson and Espinoza",Financial Institution,Defense/Arms,High,RU,1,0,0,1,1,0,High,6,7,3
5,Marks-Thompson,Financial Institution,Financial Services,Medium,AU,0,0,0,0,1,0,Medium,4,4,
6,Jones Inc,Corporate,NGO/Charity,High,AE,0,0,0,0,0,1,High,6,7,4
7,Lambert-Ruiz,Individual,Energy/Oil,High,US,0,0,0,0,1,0,High,6,7,5
8,Thompson Inc,NGO,Consulting,Low,CA,0,0,0,0,0,0,Low,2,2,
9,Vega-Randall,NGO,Financial Services,Medium,US,0,0,0,0,1,1,Medium,4,4,
10,Edwards PLC,Corporate,Casino/Gambling,High,SY,0,0,0,1,0,0.5,High,6,7,6
11,Solis-Kemp,NGO,NGO/Charity,High,AF,0,0,0,0,0,0,High,6,7,7
12,Stein-Davis,NGO,Import/Export,Medium,SD,0,0,0,1,0,0.5,Medium,4,4,
13,Gonzalez-Jenkins,Financial Institution,Retail,Low,NL,0,0,0,0,0,0,Low,2,2,
14,Harris-Walker,Individual,Real Estate,Medium,RU,0,0,0,1,0,0,Medium,4,4,
15,"Adkins, Howard and Mcdonald",Corporate,Energy/Oil,High,SG,0,0,0,0,1,0,High,6,7,8
16,Estrada Ltd,Financial Institution,Energy/Oil,High,IR,0,0,1,1,1,0,High,6,7,9
17,"Stein, Webb and Smith",Financial Institution,Defense/Arms,High,NL,0,0,0,0,1,0,High,6,7,10
18,"Christian, Shepard and Wells",Financial Institution,Tech,Low,AE,1,0,0,0,0,0,High,6,7,11
19,"James, Allen and Kim",Financial Institution,Defense/Arms,High,IN,0,0,0,0,1,0,High,6,7,12
20,"Martinez, Griffin and Cox",Individual,Energy/Oil,High,DE,0,0,0,0,1,0,High,6,7,13
21,Randall-Jones,Corporate,Consulting,Low,JP,0,0,0,0,0,0.5,Low,2,2,
